Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
1,ii,2702,0.363,5,5,1.0,0.9671455789574042,13.81189012336513,0.0,0.0,,0.0
5,lucene,38159,0.17400000000000002,5,5,1.0,1.0,12.465622090756977,0.0,0.0,,0.0
5,lucene,39061,0.064,5,5,1.0,0.8627812045942346,8.850410409469312,0.0,0.0,,0.0
5,lucene,39250,0.07,5,5,1.0,1.0,14.465622090756977,0.0,0.0,,0.0
5,lucene,40071,0.058,5,5,1.0,0.973817746765105,16.162016721114163,0.060801618218300546,0.045454545454545456,22,0.045454545454545456
5,lucene,42015,0.029,5,4,0.8,0.89062712917542,12.02371901428583,0.0,0.0,,0.0
1,ii,3029,0.322,5,5,1.0,0.9938401843867608,11.184818934934553,0.0,0.0,,0.0
5,lucene,42367,0.077,5,5,1.0,0.9749025669283183,12.254142376861159,0.0,0.0,,0.0
5,lucene,43116,0.036000000000000004,5,5,1.0,1.0,16.56189012336513,0.0723988822476879,0.05555555555555555,18,0.05555555555555555
1,ii,3569,0.182,5,5,1.0,0.8851988231521529,14.058031558224252,0.0,0.0,,0.0
5,lucene,44459,0.098,5,5,1.0,0.9351318052701418,14.41587528625504,0.0,0.0,,0.0
5,lucene,45854,0.068,5,5,1.0,0.9839351134072948,15.31189012336513,0.07430069844379031,0.09090909090909091,11,0.09090909090909091
5,lucene,46093,0.051000000000000004,5,5,1.0,0.9233748852890441,11.961763525616098,0.0,0.0,,0.0
5,lucene,46392,0.074,5,5,1.0,0.9822671820618994,14.06189012336513,0.0,0.0,,0.0
5,lucene,47573,0.059000000000000004,5,5,1.0,0.9820988998287831,13.715622090756977,0.07244409776648689,0.09090909090909091,11,0.09090909090909091
5,lucene,47953,0.117,5,5,1.0,0.9111792692768107,11.680960369793672,0.0,0.0,,0.0
1,ii,4347,0.47800000000000004,5,5,1.0,0.97095999420239,12.865495493007945,0.0,0.0,,0.0
5,lucene,48098,0.10300000000000001,5,5,1.0,0.9978750640973449,16.27722840240183,0.0,0.0,,0.0
5,lucene,48410,0.11800000000000001,5,4,0.8,0.8672598517770103,11.7082541375001,0.05141629977265101,0.05,20,0.05
5,lucene,48512,0.084,5,4,0.8,0.7586547662129843,5.0773243839286435,0.0,0.0,,0.0
5,svd,320,0.007,5,5,1.0,0.9877513473090749,14.881213565291738,0.07812718711624232,0.05263157894736842,19,0.05263157894736842
5,svd,359,0.005,5,5,1.0,0.9392861921678044,13.211763525616098,0.0,0.0,,0.0
5,svd,1387,0.003,5,5,1.0,0.9401249930444721,13.162016721114163,0.07720933605677079,0.07692307692307693,13,0.07692307692307693
5,svd,1741,0.002,5,5,1.0,0.8913239793524302,10.031086967542706,0.0,0.0,,0.0
5,svd,1835,0.003,5,5,1.0,0.9662670221772593,16.30803155822425,0.0,0.0,,0.0
5,svd,1935,0.003,5,5,1.0,1.0,12.673592416536797,0.17753450845272156,0.25,4,0.25
5,svd,2847,0.004,5,5,1.0,0.9907170124302686,13.973339221038733,0.35450259839774423,1.0,1,1.0
5,svd,2945,0.009000000000000001,5,5,1.0,1.0,13.034945532683583,0.0,0.0,,0.0
5,svd,3665,0.002,5,5,1.0,0.9540645051792024,14.23070717429561,0.0,0.0,,0.0
5,svd,5450,0.002,5,5,1.0,1.0,14.534945532683583,0.0,0.0,,0.0
5,svd,5611,0.003,5,5,1.0,0.9931137525358448,14.9964252465794,0.6216119208338527,0.5555555555555555,2,0.5
5,svd,6116,0.003,5,5,1.0,0.988589538268411,14.680960369793672,0.3764556874712958,0.2916666666666667,2,0.5
5,svd,7880,0.002,5,5,1.0,0.9852783466243938,12.350410409469312,0.0,0.0,,0.0
5,svd,8335,0.003,5,5,1.0,1.0,15.600410409469312,0.32050438858743385,1.0,1,1.0
5,lucene,48838,0.124,5,5,1.0,0.988560369468338,15.946678442077467,0.0,0.0,,0.0
5,svd,9197,0.003,5,5,1.0,1.0,12.388930695573494,0.0,0.0,,0.0
5,svd,11337,0.003,5,5,1.0,1.0,16.196678442077467,0.1329521233670156,0.2,5,0.2
